counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;54,381;64,802;-239,407;312,548;0.01500000
1.00000000;0.00000000;0.00000000;54,391;64,811;-239,413;312,551;26.97800000
2.00000000;0.00000000;0.00000000;54,399;64,821;-239,416;312,555;49.69000000
3.00000000;0.00000000;0.00000000;54,408;64,828;-239,418;312,559;71.68600000
4.00000000;0.00000000;0.00000000;54,418;64,838;-239,419;312,564;93.76800000
5.00000000;0.00000000;0.00000000;54,427;64,847;-239,419;312,567;116.39200000
6.00000000;0.00000000;0.00000000;54,437;64,856;-239,419;312,571;138.46600000
7.00000000;0.00000000;0.00000000;54,446;64,866;-239,416;312,576;160.62900000
8.00000000;0.00000000;0.00000000;54,456;64,877;-239,414;312,582;183.12300000
9.00000000;0.00000000;0.00000000;54,465;64,887;-239,411;312,588;205.39900000
10.00000000;0.00000000;0.00000000;54,475;64,896;-239,409;312,592;226.71700000
11.00000000;0.00000000;0.00000000;54,484;64,905;-239,406;312,597;249.92100000
12.00000000;0.00000000;0.00000000;54,494;64,915;-239,403;312,602;272.28600000
13.00000000;0.00000000;0.00000000;54,502;64,924;-239,401;312,607;294.37400000
14.00000000;0.00000000;0.00000000;54,511;64,935;-239,398;312,614;316.70100000
15.00000000;0.00000000;0.00000000;54,519;64,943;-239,395;312,620;338.29600000
16.00000000;0.00000000;0.00000000;54,531;64,953;-239,394;312,629;360.10800000
17.00000000;0.00000000;0.00000000;54,540;64,962;-239,393;312,638;383.55200000
18.00000000;0.00000000;0.00000000;54,549;64,970;-239,393;312,645;405.88200000
19.00000000;0.00000000;0.00000000;54,559;64,980;-239,392;312,652;427.32800000
20.00000000;0.00000000;0.00000000;54,568;64,989;-239,392;312,659;450.09400000
21.00000000;0.00000000;0.00000000;54,576;64,997;-239,389;312,665;471.77900000
22.00000000;0.00000000;0.00000000;54,584;65,005;-239,386;312,672;493.94100000
23.00000000;0.00000000;0.00000000;54,593;65,013;-239,382;312,678;516.69300000
24.00000000;0.00000000;0.00000000;54,602;65,022;-239,378;312,686;538.89200000
25.00000000;0.00000000;0.00000000;54,611;65,031;-239,373;312,694;560.81000000
26.00000000;0.00000000;0.00000000;54,620;65,038;-239,370;312,701;583.76100000
27.00000000;0.00000000;0.00000000;54,628;65,046;-239,367;312,708;605.19800000
28.00000000;0.00000000;0.00000000;54,636;65,053;-239,365;312,715;626.89200000
29.00000000;0.00000000;0.00000000;54,643;65,061;-239,363;312,721;649.56300000
30.00000000;0.00000000;0.00000000;54,650;65,068;-239,359;312,726;671.38800000
31.00000000;0.00000000;0.00000000;54,657;65,076;-239,356;312,732;693.04900000
32.00000000;0.00000000;0.00000000;54,665;65,084;-239,352;312,738;715.77200000
33.00000000;0.00000000;0.00000000;54,671;65,091;-239,350;312,742;737.54000000
34.00000000;0.00000000;0.00000000;54,677;65,099;-239,347;312,747;759.31500000
35.00000000;0.00000000;0.00000000;54,685;65,106;-239,345;312,750;782.13600000
36.00000000;0.00000000;0.00000000;54,690;65,110;-239,343;312,752;803.74900000
37.00000000;0.00000000;0.00000000;54,696;65,116;-239,340;312,753;825.94900000
38.00000000;0.00000000;0.00000000;54,701;65,121;-239,337;312,755;848.78700000
39.00000000;0.00000000;0.00000000;54,707;65,126;-239,333;312,757;871.13800000
40.00000000;0.00000000;0.00000000;54,712;65,132;-239,329;312,759;893.26500000
41.00000000;0.00000000;0.00000000;54,717;65,135;-239,324;312,760;916.20000000
42.00000000;0.00000000;0.00000000;54,720;65,137;-239,320;312,761;938.28800000
43.00000000;0.00000000;0.00000000;54,722;65,139;-239,317;312,761;960.08800000
44.00000000;0.00000000;0.00000000;54,723;65,141;-239,314;312,761;983.35400000
45.00000000;0.00000000;0.00000000;54,724;65,143;-239,309;312,761;1,005.34200000
46.00000000;0.00000000;0.00000000;54,725;65,143;-239,304;312,761;1,028.51000000
47.00000000;0.00000000;0.00000000;54,725;65,143;-239,299;312,762;1,053.61200000
48.00000000;0.00000000;0.00000000;54,725;65,141;-239,293;312,763;1,078.33500000
49.00000000;0.00000000;0.00000000;54,722;65,138;-239,287;312,765;1,100.64500000
50.00000000;0.00000000;0.00000000;54,719;65,135;-239,283;312,765;1,122.52400000
51.00000000;0.00000000;0.00000000;54,716;65,132;-239,277;312,766;1,144.67400000
52.00000000;0.00000000;0.00000000;54,711;65,128;-239,272;312,767;1,167.92800000
53.00000000;0.00000000;0.00000000;54,705;65,123;-239,269;312,769;1,190.35500000
54.00000000;0.00000000;0.00000000;54,699;65,118;-239,266;312,770;1,212.26800000
55.00000000;0.00000000;0.00000000;54,692;65,112;-239,263;312,772;1,234.57600000
56.00000000;0.00000000;0.00000000;54,684;65,105;-239,258;312,774;1,256.77300000
57.00000000;0.00000000;0.00000000;54,675;65,096;-239,252;312,774;1,279.22600000
58.00000000;0.00000000;0.00000000;54,665;65,087;-239,247;312,774;1,301.07000000
59.00000000;0.00000000;0.00000000;54,656;65,078;-239,242;312,775;1,322.58100000
60.00000000;0.00000000;0.00000000;54,646;65,069;-239,237;312,775;1,344.62100000
61.00000000;0.00000000;0.00000000;54,633;65,057;-239,230;312,777;1,367.48900000
62.00000000;0.00000000;0.00000000;54,623;65,047;-239,225;312,779;1,389.42800000
63.00000000;0.00000000;0.00000000;54,610;65,035;-239,220;312,783;1,411.69400000
64.00000000;0.00000000;0.00000000;54,598;65,024;-239,217;312,786;1,434.33200000
65.00000000;0.00000000;0.00000000;54,586;65,012;-239,212;312,792;1,456.35400000
66.00000000;0.00000000;0.00000000;54,573;65,001;-239,209;312,798;1,478.90100000
67.00000000;0.00000000;0.00000000;54,560;64,988;-239,206;312,804;1,501.85600000
68.00000000;0.00000000;0.00000000;54,546;64,976;-239,201;312,810;1,525.06200000
69.00000000;0.00000000;0.00000000;54,533;64,964;-239,196;312,816;1,549.02300000
70.00000000;0.00000000;0.00000000;54,518;64,950;-239,192;312,822;1,572.33800000
71.00000000;0.00000000;0.00000000;54,504;64,938;-239,188;312,826;1,594.71500000
72.00000000;0.00000000;0.00000000;54,491;64,926;-239,183;312,832;1,617.73700000
73.00000000;0.00000000;0.00000000;54,478;64,913;-239,179;312,838;1,639.67400000
74.00000000;0.00000000;0.00000000;54,465;64,900;-239,174;312,843;1,661.57200000
75.00000000;0.00000000;0.00000000;54,452;64,887;-239,169;312,850;1,684.41700000
76.00000000;0.00000000;0.00000000;54,439;64,875;-239,165;312,854;1,706.10300000
77.00000000;0.00000000;0.00000000;54,427;64,863;-239,162;312,861;1,727.84600000
78.00000000;0.00000000;0.00000000;54,414;64,851;-239,159;312,869;1,750.26900000
79.00000000;0.00000000;0.00000000;54,403;64,841;-239,157;312,875;1,771.46500000
80.00000000;0.00000000;0.00000000;54,391;64,831;-239,155;312,883;1,792.89000000
81.00000000;0.00000000;0.00000000;54,379;64,819;-239,152;312,892;1,815.25600000
82.00000000;0.00000000;0.00000000;54,370;64,810;-239,150;312,899;1,835.43800000
83.00000000;0.00000000;0.00000000;54,359;64,800;-239,147;312,906;1,856.31100000
84.00000000;0.00000000;0.00000000;54,348;64,790;-239,144;312,913;1,877.85600000
85.00000000;0.00000000;0.00000000;54,337;64,779;-239,141;312,919;1,900.44300000
86.00000000;0.00000000;0.00000000;54,327;64,770;-239,140;312,925;1,921.97300000
87.00000000;0.00000000;0.00000000;54,317;64,761;-239,140;312,930;1,943.72600000
88.00000000;0.00000000;0.00000000;54,308;64,752;-239,143;312,935;1,966.40200000
89.00000000;0.00000000;0.00000000;54,300;64,745;-239,145;312,940;1,988.17900000
90.00000000;0.00000000;0.00000000;54,291;64,736;-239,149;312,945;2,011.01800000
91.00000000;0.00000000;0.00000000;54,284;64,729;-239,152;312,949;2,034.49800000
92.00000000;0.00000000;0.00000000;54,276;64,722;-239,154;312,952;2,056.15500000
93.00000000;0.00000000;0.00000000;54,271;64,717;-239,156;312,955;2,077.72300000
94.00000000;0.00000000;0.00000000;54,266;64,712;-239,156;312,957;2,100.62500000
95.00000000;0.00000000;0.00000000;54,262;64,707;-239,157;312,960;2,122.52100000
96.00000000;0.00000000;0.00000000;54,259;64,704;-239,159;312,964;2,144.59500000
97.00000000;0.00000000;0.00000000;54,256;64,702;-239,162;312,969;2,167.72200000
98.00000000;0.00000000;0.00000000;54,255;64,700;-239,165;312,976;2,189.30900000
99.00000000;0.00000000;0.00000000;54,254;64,700;-239,167;312,982;2,210.33800000
100.00000000;0.00000000;0.00000000;54,254;64,700;-239,171;312,989;2,232.24200000
101.00000000;0.00000000;0.00000000;54,254;64,700;-239,173;312,994;2,252.97000000
102.00000000;0.00000000;0.00000000;54,254;64,702;-239,174;312,998;2,273.76000000
103.00000000;0.00000000;0.00000000;54,257;64,704;-239,175;313,002;2,295.68700000
104.00000000;0.00000000;0.00000000;54,259;64,706;-239,175;313,007;2,318.06200000
105.00000000;0.00000000;0.00000000;54,263;64,709;-239,175;313,014;2,340.01700000
106.00000000;0.00000000;0.00000000;54,266;64,712;-239,175;313,021;2,361.53700000
107.00000000;0.00000000;0.00000000;54,269;64,716;-239,175;313,029;2,384.52400000
108.00000000;0.00000000;0.00000000;54,274;64,719;-239,173;313,038;2,406.07600000
109.00000000;0.00000000;0.00000000;54,277;64,723;-239,173;313,047;2,428.00500000
110.00000000;0.00000000;0.00000000;54,283;64,728;-239,172;313,059;2,451.27700000
111.00000000;0.00000000;0.00000000;54,288;64,732;-239,170;313,069;2,473.83100000
112.00000000;0.00000000;0.00000000;54,293;64,737;-239,167;313,080;2,496.18600000
113.00000000;0.00000000;0.00000000;54,298;64,742;-239,163;313,091;2,518.55600000
114.00000000;0.00000000;0.00000000;54,303;64,747;-239,161;313,101;2,540.67200000
115.00000000;0.00000000;0.00000000;54,310;64,751;-239,159;313,111;2,563.12100000
116.00000000;0.00000000;0.00000000;54,315;64,758;-239,158;313,122;2,585.54900000
117.00000000;0.00000000;0.00000000;54,321;64,763;-239,157;313,130;2,606.80100000
118.00000000;0.00000000;0.00000000;54,327;64,768;-239,157;313,138;2,627.75700000
119.00000000;0.00000000;0.00000000;54,333;64,775;-239,157;313,147;2,650.15300000
120.00000000;0.00000000;0.00000000;54,341;64,781;-239,159;313,155;2,671.93900000
121.00000000;0.00000000;0.00000000;54,348;64,787;-239,160;313,162;2,693.36200000
122.00000000;0.00000000;0.00000000;54,355;64,793;-239,160;313,170;2,714.57600000
123.00000000;0.00000000;0.00000000;54,361;64,799;-239,158;313,178;2,735.26000000
124.00000000;0.00000000;0.00000000;54,367;64,805;-239,156;313,188;2,756.79400000
125.00000000;0.00000000;0.00000000;54,374;64,810;-239,154;313,197;2,778.28300000
126.00000000;0.00000000;0.00000000;54,382;64,817;-239,152;313,207;2,801.05600000
127.00000000;0.00000000;0.00000000;54,388;64,824;-239,150;313,216;2,822.85800000
128.00000000;0.00000000;0.00000000;54,395;64,831;-239,149;313,226;2,844.87900000
129.00000000;0.00000000;0.00000000;54,404;64,838;-239,146;313,237;2,867.40600000
130.00000000;0.00000000;0.00000000;54,411;64,845;-239,144;313,246;2,888.88600000
131.00000000;0.00000000;0.00000000;54,419;64,852;-239,141;313,255;2,910.24600000
132.00000000;0.00000000;0.00000000;54,427;64,860;-239,139;313,264;2,932.14700000
133.00000000;0.00000000;0.00000000;54,433;64,867;-239,137;313,271;2,952.75200000
134.00000000;0.00000000;0.00000000;54,440;64,874;-239,137;313,277;2,974.09900000
135.00000000;0.00000000;0.00000000;54,448;64,882;-239,137;313,282;2,995.76800000
136.00000000;0.00000000;0.00000000;54,457;64,890;-239,137;313,288;3,018.49000000
137.00000000;0.00000000;0.00000000;54,466;64,899;-239,137;313,291;3,040.25400000
138.00000000;0.00000000;0.00000000;54,474;64,906;-239,137;313,292;3,062.00900000
139.00000000;0.00000000;0.00000000;54,482;64,915;-239,136;313,293;3,084.92100000
140.00000000;0.00000000;0.00000000;54,490;64,922;-239,134;313,293;3,106.90300000
141.00000000;0.00000000;0.00000000;54,496;64,929;-239,133;313,291;3,129.12100000
142.00000000;0.00000000;0.00000000;54,503;64,937;-239,133;313,291;3,152.10500000
143.00000000;0.00000000;0.00000000;54,509;64,943;-239,133;313,291;3,174.27600000
144.00000000;0.00000000;0.00000000;54,516;64,950;-239,133;313,291;3,196.09400000
145.00000000;0.00000000;0.00000000;54,522;64,956;-239,133;313,291;3,218.91300000
146.00000000;0.00000000;0.00000000;54,527;64,960;-239,133;313,291;3,241.03800000
147.00000000;0.00000000;0.00000000;54,531;64,964;-239,133;313,291;3,262.78500000
148.00000000;0.00000000;0.00000000;54,535;64,968;-239,133;313,290;3,285.27600000
149.00000000;0.00000000;0.00000000;54,538;64,971;-239,133;313,290;3,306.95400000
150.00000000;0.00000000;0.00000000;54,541;64,974;-239,133;313,290;3,329.51900000
151.00000000;0.00000000;0.00000000;54,542;64,976;-239,133;313,290;3,353.08800000
152.00000000;0.00000000;0.00000000;54,544;64,978;-239,132;313,290;3,375.12900000
153.00000000;0.00000000;0.00000000;54,546;64,979;-239,132;313,290;3,395.97700000
154.00000000;0.00000000;0.00000000;54,547;64,980;-239,132;313,290;3,418.63600000
155.00000000;0.00000000;0.00000000;54,547;64,981;-239,132;313,290;3,440.00300000
156.00000000;0.00000000;0.00000000;54,548;64,981;-239,132;313,290;3,462.36100000
157.00000000;0.00000000;0.00000000;54,548;64,981;-239,132;313,290;3,485.70500000
158.00000000;0.00000000;0.00000000;54,548;64,981;-239,134;313,290;3,506.71100000
159.00000000;0.00000000;0.00000000;54,548;64,981;-239,138;313,290;3,527.46600000
160.00000000;0.00000000;0.00000000;54,548;64,981;-239,141;313,292;3,548.02500000
161.00000000;0.00000000;0.00000000;54,548;64,981;-239,146;313,293;3,573.91100000
162.00000000;0.00000000;0.00000000;54,548;64,982;-239,148;313,293;3,595.17100000
163.00000000;0.00000000;0.00000000;54,550;64,984;-239,151;313,294;3,617.70800000
164.00000000;0.00000000;0.00000000;54,551;64,986;-239,153;313,295;3,638.89100000
165.00000000;0.00000000;0.00000000;54,554;64,988;-239,153;313,295;3,659.66800000
166.00000000;0.00000000;0.00000000;54,556;64,991;-239,153;313,296;3,680.36700000
167.00000000;0.00000000;0.00000000;54,560;64,994;-239,153;313,297;3,703.19100000
168.00000000;0.00000000;0.00000000;54,565;64,998;-239,155;313,297;3,725.67900000
169.00000000;0.00000000;0.00000000;54,569;65,002;-239,157;313,297;3,748.40700000
170.00000000;0.00000000;0.00000000;54,575;65,008;-239,159;313,298;3,771.13500000
171.00000000;0.00000000;0.00000000;54,580;65,013;-239,162;313,298;3,793.17700000
172.00000000;0.00000000;0.00000000;54,586;65,021;-239,163;313,298;3,815.60600000
173.00000000;0.00000000;0.00000000;54,593;65,028;-239,163;313,296;3,837.97100000
174.00000000;0.00000000;0.00000000;54,600;65,034;-239,163;313,296;3,859.55100000
175.00000000;0.00000000;0.00000000;54,609;65,042;-239,161;313,295;3,881.49500000
176.00000000;0.00000000;0.00000000;54,616;65,050;-239,160;313,295;3,903.30900000
177.00000000;0.00000000;0.00000000;54,625;65,058;-239,160;313,295;3,925.20700000
178.00000000;0.00000000;0.00000000;54,633;65,065;-239,160;313,295;3,946.32800000
