counter;event
start;10/6/2022 4:11:23 PM
1;antfreeze_off
69;mode_#4_activated
75;display_vertical
134;view_cleared
4,603;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,856;mode_#1_activated
4,860;display_live
4,918;rot_gain_set_to_2.5
4,993;view_cleared
9,174;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,295;rot_gain_set_to_0
9,375;movedto_0;0
9,375;rotatedto_110degs
9,479;view_cleared
13,671;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,857;mode_#3_activated
13,864;display_horizontal
14,065;view_cleared
18,316;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,404;mode_ergefg_activated
18,407;display_white
18,467;rot_gain_set_to_1
18,661;view_cleared
22,843;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,893;mode_#5_activated
22,897;display_black
23,216;view_cleared
27,320;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,406;SUCCESS
end;10/6/2022 4:21:27 PM
