counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;47,779;60,865;-148,742;429,649;0.01500000
1.00000000;0.00000000;0.00000000;47,776;60,862;-148,730;429,649;26.72800000
2.00000000;0.00000000;0.00000000;47,773;60,859;-148,721;429,649;47.28400000
3.00000000;0.00000000;0.00000000;47,770;60,856;-148,712;429,649;68.36800000
4.00000000;0.00000000;0.00000000;47,766;60,853;-148,703;429,649;89.67600000
5.00000000;0.00000000;0.00000000;47,763;60,849;-148,694;429,646;112.06400000
6.00000000;0.00000000;0.00000000;47,759;60,846;-148,685;429,644;133.50100000
7.00000000;0.00000000;0.00000000;47,756;60,842;-148,675;429,642;155.16000000
8.00000000;0.00000000;0.00000000;47,751;60,837;-148,666;429,640;178.18500000
9.00000000;0.00000000;0.00000000;47,747;60,832;-148,658;429,639;200.18900000
10.00000000;0.00000000;0.00000000;47,742;60,826;-148,650;429,638;222.12400000
11.00000000;0.00000000;0.00000000;47,736;60,820;-148,642;429,638;245.28200000
12.00000000;0.00000000;0.00000000;47,729;60,812;-148,632;429,636;267.55200000
13.00000000;0.00000000;0.00000000;47,722;60,806;-148,626;429,634;288.86800000
14.00000000;0.00000000;0.00000000;47,713;60,797;-148,616;429,632;311.97500000
15.00000000;0.00000000;0.00000000;47,705;60,788;-148,609;429,629;334.11800000
16.00000000;0.00000000;0.00000000;47,696;60,779;-148,603;429,626;356.39100000
17.00000000;0.00000000;0.00000000;47,686;60,770;-148,596;429,624;379.68600000
18.00000000;0.00000000;0.00000000;47,677;60,760;-148,590;429,621;401.90600000
19.00000000;0.00000000;0.00000000;47,667;60,751;-148,583;429,619;423.98900000
20.00000000;0.00000000;0.00000000;47,657;60,742;-148,575;429,617;446.99600000
21.00000000;0.00000000;0.00000000;47,646;60,733;-148,565;429,615;469.27100000
22.00000000;0.00000000;0.00000000;47,637;60,723;-148,555;429,615;491.41300000
23.00000000;0.00000000;0.00000000;47,626;60,713;-148,545;429,615;514.58700000
24.00000000;0.00000000;0.00000000;47,616;60,704;-148,535;429,615;536.45400000
25.00000000;0.00000000;0.00000000;47,605;60,694;-148,526;429,615;558.00200000
26.00000000;0.00000000;0.00000000;47,596;60,684;-148,515;429,615;580.59500000
27.00000000;0.00000000;0.00000000;47,586;60,674;-148,503;429,614;602.61500000
28.00000000;0.00000000;0.00000000;47,576;60,663;-148,492;429,613;625.02900000
29.00000000;0.00000000;0.00000000;47,566;60,653;-148,480;429,613;647.64200000
30.00000000;0.00000000;0.00000000;47,557;60,644;-148,469;429,613;669.36400000
31.00000000;0.00000000;0.00000000;47,548;60,634;-148,459;429,615;691.51400000
32.00000000;0.00000000;0.00000000;47,538;60,625;-148,450;429,617;714.20100000
33.00000000;0.00000000;0.00000000;47,526;60,615;-148,441;429,620;736.36000000
34.00000000;0.00000000;0.00000000;47,517;60,607;-148,432;429,622;758.89400000
35.00000000;0.00000000;0.00000000;47,510;60,600;-148,425;429,624;780.55800000
36.00000000;0.00000000;0.00000000;47,501;60,591;-148,415;429,626;802.65500000
37.00000000;0.00000000;0.00000000;47,493;60,583;-148,406;429,627;824.58600000
38.00000000;0.00000000;0.00000000;47,486;60,575;-148,396;429,630;847.23200000
39.00000000;0.00000000;0.00000000;47,478;60,567;-148,390;429,633;869.00000000
