counter;event
start;10/6/2022 5:31:00 PM
1;antfreeze_off
64;rot_gain_set_to_0
111;movedto_0;0
111;rotatedto_270degs
179;view_cleared
4,315;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,370;mode_ergefg_activated
4,375;display_white
4,446;rot_gain_set_to_1
4,814;view_cleared
9,081;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,152;mode_#4_activated
9,157;display_vertical
9,528;view_cleared
13,560;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,629;mode_#5_activated
13,634;display_black
14,036;view_cleared
18,288;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,451;mode_#1_activated
18,455;display_live
18,506;rot_gain_set_to_2.5
18,610;view_cleared
22,630;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,707;mode_#3_activated
22,712;display_horizontal
22,790;rot_gain_set_to_1
23,047;view_cleared
27,112;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,197;SUCCESS
end;10/6/2022 5:41:03 PM
