counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;30,760;29,720;19,680;12,411;2.74200000
1.00000000;0.00000000;0.00000000;30,765;29,725;19,688;12,415;23.24300000
2.00000000;0.00000000;0.00000000;30,770;29,732;19,697;12,421;45.56400000
3.00000000;0.00000000;0.00000000;30,776;29,738;19,706;12,428;67.28800000
4.00000000;0.00000000;0.00000000;30,783;29,743;19,715;12,436;90.40800000
5.00000000;0.00000000;0.00000000;30,791;29,751;19,726;12,443;112.70500000
6.00000000;0.00000000;0.00000000;30,799;29,758;19,737;12,449;135.98800000
7.00000000;0.00000000;0.00000000;30,806;29,766;19,751;12,452;158.30500000
8.00000000;0.00000000;0.00000000;30,812;29,772;19,763;12,454;180.23600000
9.00000000;0.00000000;0.00000000;30,819;29,779;19,778;12,457;201.96300000
10.00000000;0.00000000;0.00000000;30,826;29,785;19,791;12,461;225.62100000
11.00000000;0.00000000;0.00000000;30,831;29,792;19,804;12,465;248.48400000
12.00000000;0.00000000;0.00000000;30,836;29,797;19,815;12,469;269.11400000
13.00000000;0.00000000;0.00000000;30,841;29,802;19,826;12,473;290.97200000
14.00000000;0.00000000;0.00000000;30,847;29,808;19,839;12,475;312.43900000
15.00000000;0.00000000;0.00000000;30,852;29,812;19,850;12,477;334.22400000
16.00000000;0.00000000;0.00000000;30,856;29,816;19,862;12,477;356.08200000
17.00000000;0.00000000;0.00000000;30,858;29,819;19,872;12,477;377.86700000
18.00000000;0.00000000;0.00000000;30,861;29,822;19,883;12,477;399.56600000
19.00000000;0.00000000;0.00000000;30,864;29,825;19,894;12,480;421.72100000
20.00000000;0.00000000;0.00000000;30,866;29,827;19,905;12,482;442.37500000
21.00000000;0.00000000;0.00000000;30,868;29,829;19,913;12,484;463.36100000
22.00000000;0.00000000;0.00000000;30,869;29,830;19,924;12,486;484.11800000
23.00000000;0.00000000;0.00000000;30,871;29,832;19,936;12,487;506.16600000
24.00000000;0.00000000;0.00000000;30,873;29,832;19,946;12,488;526.35600000
25.00000000;0.00000000;0.00000000;30,873;29,832;19,958;12,489;550.85200000
26.00000000;0.00000000;0.00000000;30,873;29,830;19,967;12,491;572.38100000
27.00000000;0.00000000;0.00000000;30,870;29,827;19,977;12,491;593.37500000
28.00000000;0.00000000;0.00000000;30,868;29,825;19,986;12,492;613.56200000
29.00000000;0.00000000;0.00000000;30,864;29,821;19,994;12,492;634.75900000
30.00000000;0.00000000;0.00000000;30,859;29,816;20,003;12,492;656.96400000
31.00000000;0.00000000;0.00000000;30,854;29,811;20,010;12,492;678.36700000
32.00000000;0.00000000;0.00000000;30,848;29,805;20,017;12,489;700.16900000
33.00000000;0.00000000;0.00000000;30,841;29,798;20,024;12,487;723.73700000
34.00000000;0.00000000;0.00000000;30,832;29,790;20,030;12,486;746.37600000
35.00000000;0.00000000;0.00000000;30,823;29,779;20,036;12,484;768.34000000
36.00000000;0.00000000;0.00000000;30,813;29,769;20,041;12,481;791.41800000
37.00000000;0.00000000;0.00000000;30,800;29,758;20,048;12,477;813.37400000
38.00000000;0.00000000;0.00000000;30,788;29,747;20,054;12,474;836.02900000
39.00000000;0.00000000;0.00000000;30,775;29,734;20,060;12,473;858.67100000
40.00000000;0.00000000;0.00000000;30,761;29,719;20,066;12,471;880.65800000
41.00000000;0.00000000;0.00000000;30,747;29,704;20,073;12,470;904.02000000
42.00000000;0.00000000;0.00000000;30,736;29,692;20,078;12,469;925.76800000
43.00000000;0.00000000;0.00000000;30,722;29,679;20,085;12,467;947.42800000
44.00000000;0.00000000;0.00000000;30,709;29,665;20,095;12,466;969.66200000
45.00000000;0.00000000;0.00000000;30,695;29,652;20,107;12,463;992.28400000
46.00000000;0.00000000;0.00000000;30,680;29,638;20,118;12,462;1,014.32500000
47.00000000;0.00000000;0.00000000;30,666;29,625;20,127;12,462;1,036.24300000
48.00000000;0.00000000;0.00000000;30,653;29,612;20,136;12,466;1,058.43600000
49.00000000;0.00000000;0.00000000;30,641;29,599;20,144;12,470;1,079.86400000
50.00000000;0.00000000;0.00000000;30,629;29,588;20,152;12,472;1,101.16800000
51.00000000;0.00000000;0.00000000;30,617;29,577;20,164;12,475;1,123.20500000
52.00000000;0.00000000;0.00000000;30,605;29,566;20,176;12,478;1,144.40700000
53.00000000;0.00000000;0.00000000;30,596;29,557;20,185;12,481;1,164.83400000
54.00000000;0.00000000;0.00000000;30,586;29,548;20,196;12,484;1,185.46600000
55.00000000;0.00000000;0.00000000;30,576;29,541;20,205;12,487;1,207.54600000
56.00000000;0.00000000;0.00000000;30,569;29,532;20,216;12,490;1,231.95800000
57.00000000;0.00000000;0.00000000;30,563;29,526;20,224;12,492;1,252.93400000
58.00000000;0.00000000;0.00000000;30,555;29,520;20,231;12,494;1,275.20300000
59.00000000;0.00000000;0.00000000;30,549;29,514;20,237;12,497;1,296.94600000
60.00000000;0.00000000;0.00000000;30,542;29,509;20,243;12,499;1,318.95900000
61.00000000;0.00000000;0.00000000;30,536;29,504;20,248;12,502;1,342.63600000
62.00000000;0.00000000;0.00000000;30,532;29,500;20,256;12,505;1,364.53500000
63.00000000;0.00000000;0.00000000;30,528;29,495;20,266;12,507;1,386.44500000
64.00000000;0.00000000;0.00000000;30,524;29,491;20,278;12,509;1,411.42300000
65.00000000;0.00000000;0.00000000;30,519;29,487;20,293;12,510;1,435.30700000
66.00000000;0.00000000;0.00000000;30,515;29,483;20,308;12,511;1,458.24400000
67.00000000;0.00000000;0.00000000;30,510;29,477;20,320;12,513;1,479.76400000
68.00000000;0.00000000;0.00000000;30,506;29,473;20,332;12,515;1,501.35400000
69.00000000;0.00000000;0.00000000;30,501;29,470;20,343;12,519;1,524.44200000
70.00000000;0.00000000;0.00000000;30,496;29,466;20,356;12,524;1,546.26900000
71.00000000;0.00000000;0.00000000;30,492;29,463;20,368;12,529;1,567.98800000
72.00000000;0.00000000;0.00000000;30,487;29,458;20,382;12,534;1,592.59900000
73.00000000;0.00000000;0.00000000;30,484;29,455;20,395;12,538;1,614.81000000
74.00000000;0.00000000;0.00000000;30,481;29,452;20,408;12,543;1,636.02700000
75.00000000;0.00000000;0.00000000;30,477;29,448;20,424;12,549;1,660.93800000
76.00000000;0.00000000;0.00000000;30,474;29,445;20,440;12,555;1,686.18200000
77.00000000;0.00000000;0.00000000;30,471;29,442;20,456;12,561;1,709.45300000
78.00000000;0.00000000;0.00000000;30,469;29,439;20,473;12,566;1,731.28000000
79.00000000;0.00000000;0.00000000;30,468;29,437;20,487;12,570;1,752.84300000
80.00000000;0.00000000;0.00000000;30,466;29,435;20,501;12,573;1,775.04200000
81.00000000;0.00000000;0.00000000;30,463;29,433;20,513;12,577;1,796.78900000
82.00000000;0.00000000;0.00000000;30,463;29,432;20,525;12,581;1,817.99500000
83.00000000;0.00000000;0.00000000;30,463;29,432;20,537;12,586;1,840.05000000
84.00000000;0.00000000;0.00000000;30,463;29,432;20,551;12,590;1,861.22900000
85.00000000;0.00000000;0.00000000;30,463;29,431;20,563;12,593;1,881.42500000
86.00000000;0.00000000;0.00000000;30,463;29,431;20,575;12,596;1,902.43000000
87.00000000;0.00000000;0.00000000;30,465;29,431;20,587;12,598;1,925.24500000
88.00000000;0.00000000;0.00000000;30,465;29,430;20,599;12,601;1,947.66500000
89.00000000;0.00000000;0.00000000;30,466;29,430;20,609;12,603;1,968.99000000
90.00000000;0.00000000;0.00000000;30,467;29,430;20,621;12,607;1,991.17100000
91.00000000;0.00000000;0.00000000;30,467;29,430;20,632;12,610;2,012.70500000
92.00000000;0.00000000;0.00000000;30,469;29,430;20,645;12,614;2,034.43100000
93.00000000;0.00000000;0.00000000;30,470;29,432;20,655;12,620;2,059.76500000
94.00000000;0.00000000;0.00000000;30,472;29,434;20,664;12,628;2,083.34800000
95.00000000;0.00000000;0.00000000;30,475;29,437;20,670;12,635;2,103.98800000
96.00000000;0.00000000;0.00000000;30,477;29,439;20,674;12,641;2,126.35800000
97.00000000;0.00000000;0.00000000;30,480;29,442;20,677;12,647;2,147.93200000
98.00000000;0.00000000;0.00000000;30,484;29,446;20,680;12,651;2,169.56100000
99.00000000;0.00000000;0.00000000;30,489;29,451;20,682;12,655;2,192.16600000
100.00000000;0.00000000;0.00000000;30,494;29,457;20,686;12,658;2,213.94200000
101.00000000;0.00000000;0.00000000;30,499;29,462;20,690;12,660;2,235.79800000
102.00000000;0.00000000;0.00000000;30,506;29,470;20,695;12,664;2,258.32500000
103.00000000;0.00000000;0.00000000;30,512;29,476;20,700;12,668;2,280.14900000
104.00000000;0.00000000;0.00000000;30,521;29,485;20,706;12,672;2,301.35500000
105.00000000;0.00000000;0.00000000;30,529;29,493;20,712;12,675;2,323.97000000
106.00000000;0.00000000;0.00000000;30,537;29,502;20,720;12,681;2,346.31000000
107.00000000;0.00000000;0.00000000;30,547;29,511;20,728;12,687;2,368.90400000
108.00000000;0.00000000;0.00000000;30,558;29,522;20,738;12,693;2,392.24400000
109.00000000;0.00000000;0.00000000;30,567;29,531;20,747;12,697;2,413.82800000
110.00000000;0.00000000;0.00000000;30,578;29,542;20,758;12,702;2,435.29700000
111.00000000;0.00000000;0.00000000;30,588;29,552;20,769;12,708;2,457.64500000
112.00000000;0.00000000;0.00000000;30,599;29,562;20,780;12,712;2,479.96200000
113.00000000;0.00000000;0.00000000;30,609;29,572;20,791;12,716;2,501.66400000
114.00000000;0.00000000;0.00000000;30,621;29,583;20,801;12,720;2,524.66400000
115.00000000;0.00000000;0.00000000;30,631;29,594;20,810;12,725;2,545.67500000
116.00000000;0.00000000;0.00000000;30,641;29,604;20,818;12,729;2,566.86200000
117.00000000;0.00000000;0.00000000;30,651;29,615;20,825;12,733;2,587.11900000
118.00000000;0.00000000;0.00000000;30,662;29,627;20,832;12,739;2,609.50800000
119.00000000;0.00000000;0.00000000;30,672;29,637;20,839;12,744;2,630.93000000
120.00000000;0.00000000;0.00000000;30,682;29,647;20,845;12,748;2,652.35800000
121.00000000;0.00000000;0.00000000;30,693;29,657;20,853;12,750;2,674.72000000
122.00000000;0.00000000;0.00000000;30,704;29,667;20,862;12,753;2,696.53300000
123.00000000;0.00000000;0.00000000;30,712;29,676;20,870;12,756;2,717.79700000
124.00000000;0.00000000;0.00000000;30,720;29,683;20,878;12,759;2,739.13000000
125.00000000;0.00000000;0.00000000;30,728;29,691;20,888;12,761;2,760.39900000
126.00000000;0.00000000;0.00000000;30,736;29,699;20,898;12,764;2,782.14400000
127.00000000;0.00000000;0.00000000;30,743;29,705;20,906;12,766;2,803.62900000
128.00000000;0.00000000;0.00000000;30,750;29,712;20,915;12,768;2,826.05100000
129.00000000;0.00000000;0.00000000;30,755;29,718;20,924;12,769;2,847.53700000
130.00000000;0.00000000;0.00000000;30,760;29,723;20,934;12,770;2,869.60600000
131.00000000;0.00000000;0.00000000;30,764;29,727;20,942;12,772;2,893.02700000
132.00000000;0.00000000;0.00000000;30,767;29,730;20,951;12,774;2,916.16400000
133.00000000;0.00000000;0.00000000;30,770;29,732;20,958;12,776;2,937.09900000
134.00000000;0.00000000;0.00000000;30,771;29,734;20,968;12,777;2,959.52200000
135.00000000;0.00000000;0.00000000;30,771;29,735;20,976;12,778;2,982.91900000
136.00000000;0.00000000;0.00000000;30,772;29,735;20,982;12,779;3,003.74600000
137.00000000;0.00000000;0.00000000;30,772;29,735;20,989;12,779;3,025.53400000
138.00000000;0.00000000;0.00000000;30,769;29,732;20,996;12,777;3,046.81100000
