counter;event
start;10/7/2022 11:24:40 AM
1;antfreeze_off
79;rot_gain_set_to_2.5
160;view_cleared
4,904;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
5,002;rot_gain_set_to_1
5,164;mode_#4_activated
5,168;display_vertical
5,345;view_cleared
9,430;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,509;mode_#3_activated
9,514;display_horizontal
9,821;view_cleared
13,794;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,935;mode_#1_activated
13,940;display_live
14,012;rot_gain_set_to_0
14,078;movedto_0;0
14,078;rotatedto_285degs
14,243;view_cleared
18,570;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,676;rot_gain_set_to_1
18,746;mode_#5_activated
18,750;display_black
18,982;view_cleared
22,843;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,949;mode_ergefg_activated
22,952;display_white
23,283;view_cleared
27,410;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,491;SUCCESS
end;10/7/2022 11:34:49 AM
