counter;event
start;10/7/2022 11:37:40 AM
1;antfreeze_off
60;mode_#3_activated
65;display_horizontal
124;view_cleared
4,232;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,388;mode_#1_activated
4,392;display_live
4,459;rot_gain_set_to_2.5
4,540;view_cleared
9,100;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,330;rot_gain_set_to_1
9,526;mode_#5_activated
9,531;display_black
9,602;view_cleared
13,796;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
14,029;mode_#4_activated
14,034;display_vertical
14,109;view_cleared
18,150;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,235;mode_ergefg_activated
18,240;display_white
18,638;view_cleared
22,665;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,888;mode_#1_activated
22,892;display_live
22,945;rot_gain_set_to_0
23,000;movedto_0;0
23,000;rotatedto_225degs
23,102;view_cleared
27,422;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,482;SUCCESS
end;10/7/2022 11:47:45 AM
