counter;event
start;10/7/2022 11:50:36 AM
1;antfreeze_off
62;mode_#5_activated
67;display_black
121;view_cleared
4,330;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,391;mode_ergefg_activated
4,397;display_white
4,799;view_cleared
9,155;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,205;mode_#3_activated
9,210;display_horizontal
9,603;view_cleared
13,592;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,726;rot_gain_set_to_0
13,795;mode_#1_activated
13,799;display_live
13,890;movedto_0;0
13,890;rotatedto_70degs
14,098;view_cleared
14,866;movedto_0;0
14,866;rotatedto_170degs
18,125;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,210;rot_gain_set_to_2.5
18,568;view_cleared
22,667;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,726;mode_#4_activated
22,730;display_vertical
22,940;rot_gain_set_to_1
23,139;view_cleared
27,201;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,242;SUCCESS
end;10/7/2022 12:00:39 PM
