counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;171,627;179,523;-408,507;261,190;0.01300000
1.00000000;0.00000000;0.00000000;171,633;179,528;-408,505;261,190;26.62200000
2.00000000;0.00000000;0.00000000;171,638;179,534;-408,504;261,190;49.47900000
3.00000000;0.00000000;0.00000000;171,642;179,538;-408,504;261,190;70.85300000
4.00000000;0.00000000;0.00000000;171,647;179,542;-408,503;261,192;92.54900000
5.00000000;0.00000000;0.00000000;171,651;179,546;-408,501;261,192;115.76200000
6.00000000;0.00000000;0.00000000;171,654;179,550;-408,498;261,193;137.36600000
7.00000000;0.00000000;0.00000000;171,658;179,554;-408,494;261,193;159.36000000
8.00000000;0.00000000;0.00000000;171,662;179,557;-408,488;261,193;183.12500000
9.00000000;0.00000000;0.00000000;171,666;179,562;-408,482;261,190;205.42600000
10.00000000;0.00000000;0.00000000;171,669;179,565;-408,476;261,189;227.71700000
11.00000000;0.00000000;0.00000000;171,673;179,568;-408,473;261,188;249.92400000
12.00000000;0.00000000;0.00000000;171,676;179,573;-408,471;261,188;271.75300000
13.00000000;0.00000000;0.00000000;171,681;179,578;-408,470;261,191;294.24000000
14.00000000;0.00000000;0.00000000;171,686;179,585;-408,467;261,194;316.46900000
15.00000000;0.00000000;0.00000000;171,691;179,590;-408,464;261,196;339.79200000
16.00000000;0.00000000;0.00000000;171,698;179,596;-408,458;261,197;364.10000000
17.00000000;0.00000000;0.00000000;171,702;179,601;-408,453;261,197;385.62400000
18.00000000;0.00000000;0.00000000;171,707;179,607;-408,447;261,198;406.26600000
19.00000000;0.00000000;0.00000000;171,713;179,612;-408,443;261,198;426.96000000
20.00000000;0.00000000;0.00000000;171,718;179,618;-408,436;261,195;449.83300000
21.00000000;0.00000000;0.00000000;171,724;179,623;-408,429;261,192;471.41100000
22.00000000;0.00000000;0.00000000;171,729;179,629;-408,424;261,188;493.32200000
23.00000000;0.00000000;0.00000000;171,734;179,634;-408,419;261,187;516.60100000
24.00000000;0.00000000;0.00000000;171,740;179,639;-408,414;261,186;538.33100000
25.00000000;0.00000000;0.00000000;171,743;179,644;-408,410;261,186;559.67800000
26.00000000;0.00000000;0.00000000;171,749;179,649;-408,403;261,186;582.97000000
27.00000000;0.00000000;0.00000000;171,754;179,653;-408,398;261,186;605.37600000
28.00000000;0.00000000;0.00000000;171,759;179,657;-408,391;261,186;627.31500000
29.00000000;0.00000000;0.00000000;171,762;179,661;-408,384;261,185;649.94400000
30.00000000;0.00000000;0.00000000;171,765;179,664;-408,379;261,183;671.75400000
31.00000000;0.00000000;0.00000000;171,768;179,667;-408,374;261,182;693.44300000
32.00000000;0.00000000;0.00000000;171,770;179,670;-408,368;261,180;715.29000000
33.00000000;0.00000000;0.00000000;171,773;179,672;-408,365;261,178;736.27800000
34.00000000;0.00000000;0.00000000;171,775;179,674;-408,360;261,176;757.81700000
35.00000000;0.00000000;0.00000000;171,777;179,677;-408,357;261,173;778.57600000
36.00000000;0.00000000;0.00000000;171,779;179,679;-408,352;261,169;803.97200000
37.00000000;0.00000000;0.00000000;171,781;179,681;-408,348;261,167;824.60000000
38.00000000;0.00000000;0.00000000;171,783;179,683;-408,343;261,166;845.91500000
39.00000000;0.00000000;0.00000000;171,785;179,685;-408,338;261,166;869.20100000
40.00000000;0.00000000;0.00000000;171,786;179,686;-408,334;261,166;889.85400000
41.00000000;0.00000000;0.00000000;171,788;179,688;-408,329;261,164;910.17400000
42.00000000;0.00000000;0.00000000;171,790;179,689;-408,323;261,162;931.97900000
43.00000000;0.00000000;0.00000000;171,791;179,690;-408,316;261,157;952.83700000
44.00000000;0.00000000;0.00000000;171,792;179,691;-408,311;261,153;973.59000000
45.00000000;0.00000000;0.00000000;171,792;179,691;-408,304;261,146;999.34900000
46.00000000;0.00000000;0.00000000;171,792;179,691;-408,299;261,141;1,020.23200000
47.00000000;0.00000000;0.00000000;171,792;179,692;-408,294;261,137;1,041.15500000
48.00000000;0.00000000;0.00000000;171,792;179,692;-408,289;261,134;1,061.90300000
49.00000000;0.00000000;0.00000000;171,792;179,690;-408,284;261,132;1,083.38300000
50.00000000;0.00000000;0.00000000;171,789;179,688;-408,279;261,131;1,104.60600000
51.00000000;0.00000000;0.00000000;171,787;179,685;-408,275;261,130;1,126.20500000
