counter;event
start;10/7/2022 12:38:32 PM
1;antfreeze_off
77;rot_gain_set_to_0
137;movedto_0;0
137;rotatedto_250degs
213;view_cleared
4,301;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,390;mode_#4_activated
4,394;display_vertical
4,732;rot_gain_set_to_1
4,803;view_cleared
8,991;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,100;mode_ergefg_activated
9,105;display_white
9,579;view_cleared
13,763;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,905;mode_#1_activated
13,909;display_live
13,981;rot_gain_set_to_2.5
14,269;view_cleared
18,268;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,440;mode_#5_activated
18,445;display_black
18,580;rot_gain_set_to_1
18,724;view_cleared
22,654;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,721;mode_#3_activated
22,725;display_horizontal
23,205;view_cleared
27,326;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,407;SUCCESS
end;10/7/2022 12:48:38 PM
