counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;20,775;20,639;7,198;27,351;2.59700000
1.00000000;0.00000000;0.00000000;20,782;20,645;7,199;27,359;23.25200000
2.00000000;0.00000000;0.00000000;20,790;20,652;7,200;27,369;46.56900000
3.00000000;0.00000000;0.00000000;20,797;20,658;7,201;27,378;70.05200000
4.00000000;0.00000000;0.00000000;20,805;20,666;7,203;27,390;96.13400000
5.00000000;0.00000000;0.00000000;20,812;20,675;7,207;27,400;121.46200000
6.00000000;0.00000000;0.00000000;20,820;20,681;7,213;27,408;145.37300000
7.00000000;0.00000000;0.00000000;20,827;20,688;7,219;27,414;168.21800000
8.00000000;0.00000000;0.00000000;20,833;20,696;7,225;27,420;191.59800000
9.00000000;0.00000000;0.00000000;20,840;20,704;7,231;27,428;215.41500000
10.00000000;0.00000000;0.00000000;20,846;20,710;7,236;27,433;236.72800000
11.00000000;0.00000000;0.00000000;20,852;20,716;7,240;27,439;260.65500000
12.00000000;0.00000000;0.00000000;20,859;20,722;7,244;27,446;286.72000000
13.00000000;0.00000000;0.00000000;20,864;20,727;7,247;27,453;309.98900000
14.00000000;0.00000000;0.00000000;20,869;20,732;7,250;27,460;331.14100000
15.00000000;0.00000000;0.00000000;20,873;20,737;7,252;27,466;352.84700000
16.00000000;0.00000000;0.00000000;20,879;20,742;7,256;27,475;374.76800000
17.00000000;0.00000000;0.00000000;20,884;20,747;7,260;27,482;397.71000000
18.00000000;0.00000000;0.00000000;20,888;20,752;7,264;27,491;420.74900000
19.00000000;0.00000000;0.00000000;20,891;20,756;7,267;27,498;442.00400000
20.00000000;0.00000000;0.00000000;20,896;20,760;7,270;27,507;464.37900000
21.00000000;0.00000000;0.00000000;20,899;20,764;7,272;27,514;486.78800000
22.00000000;0.00000000;0.00000000;20,903;20,768;7,274;27,523;508.65500000
23.00000000;0.00000000;0.00000000;20,907;20,772;7,276;27,531;531.09900000
24.00000000;0.00000000;0.00000000;20,911;20,776;7,279;27,539;553.66800000
25.00000000;0.00000000;0.00000000;20,915;20,781;7,283;27,548;575.34300000
26.00000000;0.00000000;0.00000000;20,919;20,784;7,287;27,558;597.80300000
