counter;event
start;10/7/2022 3:48:19 PM
1;antfreeze_off
34;mode_#3_activated
38;display_horizontal
111;view_cleared
4,376;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,537;mode_#5_activated
4,543;display_black
4,854;view_cleared
9,036;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,334;mode_#1_activated
9,339;display_live
9,405;rot_gain_set_to_2.5
9,581;view_cleared
13,763;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,828;rot_gain_set_to_1
14,004;mode_ergefg_activated
14,008;display_white
14,160;view_cleared
18,522;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,679;mode_#4_activated
18,684;display_vertical
18,906;view_cleared
22,975;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
23,177;mode_#1_activated
23,181;display_live
23,256;rot_gain_set_to_0
23,322;movedto_0;0
23,322;rotatedto_105degs
23,443;view_cleared
27,712;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,801;SUCCESS
end;10/7/2022 3:58:33 PM
