counter;event
start;10/7/2022 4:01:57 PM
1;antfreeze_off
47;mode_#5_activated
52;display_black
136;view_cleared
4,607;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
4,767;mode_#3_activated
4,770;display_horizontal
5,032;view_cleared
9,071;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
9,173;mode_ergefg_activated
9,180;display_white
9,645;view_cleared
13,527;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
13,616;rot_gain_set_to_2.5
13,838;mode_#1_activated
13,841;display_live
14,015;view_cleared
18,205;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
18,632;rot_gain_set_to_0
18,708;movedto_0;0
18,708;rotatedto_35degs
18,869;view_cleared
22,704;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
22,842;mode_#4_activated
22,846;display_vertical
22,944;rot_gain_set_to_1
23,214;view_cleared
27,307;view_filled_RGBA(0.000, 0.000, 0.000, 1.000)
27,374;SUCCESS
end;10/7/2022 4:12:03 PM
