counter;x_world;y_world;X0_trackball;X1_trackball;Y0_trackball;Y1_trackball;Dt
0.00000000;0.00000000;0.00000000;85,095;84,770;190,415;51,617;0.01500000
1.00000000;0.00000000;0.00000000;85,092;84,767;190,409;51,615;26.56200000
2.00000000;0.00000000;0.00000000;85,089;84,763;190,407;51,613;47.76100000
3.00000000;0.00000000;0.00000000;85,086;84,760;190,406;51,612;69.51800000
4.00000000;0.00000000;0.00000000;85,083;84,757;190,405;51,612;91.30600000
5.00000000;0.00000000;0.00000000;85,080;84,753;190,405;51,611;114.09600000
6.00000000;0.00000000;0.00000000;85,078;84,750;190,402;51,611;136.05800000
7.00000000;0.00000000;0.00000000;85,076;84,748;190,399;51,610;157.94500000
8.00000000;0.00000000;0.00000000;85,073;84,745;190,393;51,609;180.76100000
9.00000000;0.00000000;0.00000000;85,070;84,743;190,385;51,607;203.21400000
10.00000000;0.00000000;0.00000000;85,067;84,740;190,378;51,605;224.70300000
11.00000000;0.00000000;0.00000000;85,065;84,738;190,369;51,603;247.41900000
12.00000000;0.00000000;0.00000000;85,063;84,736;190,360;51,600;269.40100000
13.00000000;0.00000000;0.00000000;85,061;84,734;190,349;51,597;291.23400000
14.00000000;0.00000000;0.00000000;85,059;84,732;190,338;51,595;313.96200000
15.00000000;0.00000000;0.00000000;85,057;84,730;190,326;51,594;335.74100000
16.00000000;0.00000000;0.00000000;85,055;84,728;190,313;51,592;357.17600000
17.00000000;0.00000000;0.00000000;85,053;84,727;190,300;51,590;379.82600000
18.00000000;0.00000000;0.00000000;85,051;84,725;190,287;51,587;401.69600000
19.00000000;0.00000000;0.00000000;85,049;84,723;190,274;51,583;425.22300000
20.00000000;0.00000000;0.00000000;85,047;84,722;190,262;51,580;448.53500000
21.00000000;0.00000000;0.00000000;85,045;84,720;190,249;51,577;469.85500000
22.00000000;0.00000000;0.00000000;85,043;84,719;190,237;51,575;491.13800000
23.00000000;0.00000000;0.00000000;85,042;84,718;190,224;51,572;513.48700000
24.00000000;0.00000000;0.00000000;85,040;84,717;190,211;51,569;535.00200000
25.00000000;0.00000000;0.00000000;85,038;84,716;190,201;51,566;556.18300000
26.00000000;0.00000000;0.00000000;85,037;84,715;190,191;51,563;578.97000000
27.00000000;0.00000000;0.00000000;85,035;84,714;190,182;51,558;600.35300000
28.00000000;0.00000000;0.00000000;85,034;84,712;190,172;51,554;621.06000000
29.00000000;0.00000000;0.00000000;85,033;84,711;190,162;51,551;641.77600000
30.00000000;0.00000000;0.00000000;85,032;84,710;190,151;51,548;664.48700000
31.00000000;0.00000000;0.00000000;85,031;84,710;190,141;51,545;685.95700000
32.00000000;0.00000000;0.00000000;85,030;84,709;190,132;51,543;707.27000000
