counter;event;
start;10/7/2022 4:51:04 PM;
1;antfreeze_off;
193;rot_gain_set_to_0;
239;movedto_0;0
239;rotatedto_130degs;
328;view_cleared;
4,344;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
4,566;rot_gain_set_to_1;
4,676;mode_ergefg_activated;
4,681;display_white;
4,816;view_cleared;
10,218;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
10,367;mode_#4_activated;
10,372;display_vertical;
10,582;view_cleared;
14,677;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
14,731;mode_#5_activated;
14,736;display_black;
15,109;view_cleared;
19,322;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
19,494;mode_#1_activated;
19,497;display_live;
19,537;rot_gain_set_to_2.5;
19,628;view_cleared;
23,359;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
23,893;rot_gain_set_to_1;
24,026;mode_#3_activated;
24030;display_horizontal;
24,113;view_cleared;
28,187;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
28,233;SUCCESS;
end;10/7/2022 5:01:26 PM;
