counter;event;
start;10/7/2022 5:30:39 PM;
1;antfreeze_off;
21;mode_#3_activated;
26;display_horizontal;
88;view_cleared;
4,269;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
4,328;rot_gain_set_to_2.5;
4,713;mode_#1_activated;
5,066;view_cleared;
5070;display_live;
9,124;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
9,184;mode_#5_activated;
9,189;display_black;
9570;view_cleared;
13,718;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
13,852;mode_#4_activated;
13,857;display_vertical;
13,915;rot_gain_set_to_1;
14,042;view_cleared;
18,131;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
18,432;mode_ergefg_activated;
18,436;display_white;
18,521;view_cleared;
22,662;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
22,824;mode_#1_activated;
22,828;display_live;
22,887;rot_gain_set_to_0;
22,938;movedto_-6.617652E-24;4.062241E-17
22,938;rotatedto_187degs;
23,064;view_cleared;
23,575;movedto_-4.756437E-24;4.063617E-17
23,575;rotatedto_240degs;
27,303;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
27,363;SUCCESS;
end;10/7/2022 5:40:44 PM;
