counter;event;
start;11/3/2022 3:52:51 PM;
1;antfreeze_off;
29;mode_#5_activated;
33;display_black;
92;view_cleared;
4,331;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
4400;mode_#3_activated;
4,407;display_horizontal;
4,808;view_cleared;
9,047;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
9,123;mode_ergefg_activated;
9,131;display_white;
9,986;view_cleared;
13,884;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
13,943;mode_#1_activated;
13,947;display_live;
14010;rot_gain_set_to_2.5;
14,283;view_cleared;
18,702;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
19,554;rot_gain_set_to_0;
19,613;movedto_0;0
19,613;rotatedto_340degs;
19,925;mode_#1_activated;
19,931;display_live;
19990;view_cleared;
24,465;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
24,554;mode_#4_activated;
24560;display_vertical;
24,683;rot_gain_set_to_1;
24,938;view_cleared;
29,015;view_filled_RGBA(0.000, 0.000, 0.000, 1.000);
29,071;SUCCESS;
end;11/3/2022 4:03:34 PM;
