Ant;Size1;Size2;Ball;Trial;Condition;Cookie;Order;Mean angular speed;blocked oscillation;fourrier;nb_osci;nb_block
18;0.77;0.355;HB;1;B;RC;1;89.06479202699975;0.348314606741573;0.17959770114942528;29;15
18;0.77;0.355;HB;1;0;RC;2;140.1778853427559;0.6266666666666667;0.0831587000632006;14;24
18;0.77;0.355;LB;2;B;RC;1;139.4401171046673;0.34831460674157294;0.2648593908234011;29;15
18;0.77;0.355;LB;2;0;RC;2;220.4161829994435;0.8666666666666666;0.1664206535266707;7;45
08;0.91;0.4;LB;3;0;RC;1;194.52310667682892;0.5932203389830508;0.07337295472888693;24;35
08;0.91;0.4;LB;3;B;RC;2;112.36282574517836;0.3725490196078432;0.14778171862360773;32;19
02;1.06;0.477;HB;4;B;RC;1;72.50318607742135;0.4757281553398058;0.23841233824956015;27;25
02;1.06;0.477;HB;4;0;RC;2;114.94225739868878;0.7185185185185186;0.11119017968333036;19;49
12;0.685;0.31;HB;5;0;RC;1;131.3339665724521;0.373134328358209;0.2283328440486675;21;13
12;0.685;0.31;HB;5;B;RC;2;102.28258953319067;0.36231884057971014;0.11283043197936814;22;12
13;0.685;0.33;HB;6;0;RC;1;206.6106911255191;0.4888888888888889;0.22403664243751867;23;22
13;0.685;0.33;HB;6;B;RC;2;106.81152701290509;0.46153846153846156;0.08409014463504877;28;24
24;0.81;0.32;LB;7;B;RC;1;123.25780695997342;0.18309859154929575;0.18929534806682125;29;7
24;0.81;0.32;LB;7;0;RC;2;166.97631244301562;0.6875000000000001;0.08649022660439369;10;22
21;0.76;0.344;LB;8;0;RC;1;55.134817443314574;0.3870967741935483;0.23191094619666047;38;24
21;0.76;0.344;LB;8;B;RC;2;33.62125176989423;0.25000000000000006;0.0963530375295081;42;14
08;0.91;0.4;HB;9;0;RC;1;98.12600166579277;0.5913978494623656;0.11170153350248135;19;27
08;0.91;0.4;HB;9;B;RC;2;84.17961002703697;0.32038834951456313;0.33921302578018997;35;17
05;0.8;0.36;HB;10;0;RC;1;162.99884213783383;0.5206611570247933;0.083320514792596;29;31
05;0.8;0.36;HB;10;B;RC;2;88.14130367055745;0.2933333333333333;0.5439749336350581;53;22
23;0.815;0.374;HB;11;B;RC;1;127.33179985598595;0.25;0.27227881350502914;39;13
23;0.815;0.374;HB;11;0;RC;2;139.7243870579173;0.5670103092783505;0.11124460463667511;21;27
10;0.78;0.35;LB;12;B;RC;1;116.2347248013248;0.3846153846153845;0.24203698325104073;28;18
10;0.78;0.35;LB;12;0;RC;2;186.7496408862182;0.7142857142857143;0.09524263060145721;12;30
07;0.85;0.37;HB;13;B;RC;1;110.50997042169276;0.4833333333333333;0.21767184414695956;31;29
07;0.85;0.37;HB;13;0;RC;2;127.54561426630235;0.4653465346534653;0.14100991299688367;27;23
13;0.685;0.33;LB;14;0;RC;1;165.61095802140105;0.5268817204301075;0.20823962550185746;22;24
13;0.685;0.33;LB;14;B;RC;2;156.61165469603182;0.4453781512605042;0.26343519494204426;33;27
09;0.76;0.3;HB;15;0;RC;1;194.6614538375087;0.6483516483516483;0.1302203021111009;16;30
09;0.76;0.3;HB;15;B;RC;2;71.00628804176887;0.393939393939394;0.24199403081390655;40;26
03;0.76;0.339;LB;16;B;RC;1;150.82319050088705;0.4375;0.551413098941616;36;28
03;0.76;0.339;LB;16;0;RC;2;168.48779898957832;0.6718749999999999;0.11648611319122026;21;43
11;0.87;0.39;HB;17;B;RC;1;110.36715667251768;0.22580645161290325;0.19958088015168146;36;10
11;0.87;0.39;HB;17;0;RC;2;207.29725408971836;0.7777777777777778;0.078060356267466;10;35
19;0.8;0.38;HB;18;B;RC;1;82.13768205697694;0.45238095238095233;0.252000252000252;23;19
19;0.8;0.38;HB;18;0;RC;2;138.04937985536415;0.6818181818181819;0.12287087806601237;14;30
03;0.76;0.339;HB;19;B;RC;1;164.74248828675357;0.42307692307692313;0.2649445272396092;30;22
03;0.76;0.339;HB;19;0;RC;2;200.9183089697298;0.4942528735632184;0.1721763085399449;22;22
11;0.87;0.39;LB;20;B;RC;1;112.7350464639206;0.2678571428571429;0.21098035538468748;41;15
