Ant;Condition;Order;Mean angular speed;blocked oscillation;fourrier;nb_osci;nb_block
01;B;1;172.01627174646822;0.3793103448275862;0.15294261593050287;18;11
01;W;2;266.0885214443568;0.717948717948718;0.22186477342060013;11;28
01;H;3;258.54381980209536;0.90625;0.16118633139909735;3;29
01;4;4;231.50399889845374;0.45454545454545453;0.2626740215392698;18;15
01;8;5;251.47340737245867;0.5806451612903226;0.13408420488066503;13;18
01;1;6;217.12596590856583;0.5666666666666667;0.23569023569023567;13;17
02;W;1;250.44637733931307;0.6285714285714286;0.22907258328424634;13;22
02;4;2;304.1779737133331;0.7352941176470589;0.14451188332332865;9;25
02;B;3;148.17005184604506;0.16216216216216217;0.478351799937703;31;6
02;1;4;196.03912558702007;0.5666666666666667;0.14190900358047331;13;17
02;H;5;218.03709863008382;0.7297297297297297;0.2723867892407218;10;27
02;8;6;325.3850934953767;0.6875;0.12161751292186074;10;22
03;4;1;220.32179448526622;0.9117647058823529;0.12591286829513976;3;31
03;1;2;182.90119582949885;0.4230769230769231;0.15371102327624067;15;11
03;W;3;175.83560964470047;0.20833333333333334;0.1893939393939394;19;5
03;8;4;217.56031526447518;0.24;0.22200022200022201;19;6
03;B;5;121.24401440569068;0.2692307692307692;0.15517279599210837;19;7
03;H;6;157.13126304500975;0.4117647058823529;0.1373842047417177;20;14
04;1;1;226.1119662084576;0.5555555555555556;0.1527370478983382;16;20
04;8;2;311.0671201557498;0.6176470588235294;0.13900472616068946;13;21
04;4;3;250.91780185194526;0.5416666666666666;0.16204829039053636;11;13
04;H;4;185.14689777776485;0.4482758620689655;0.2186365822729459;16;13
04;W;5;212.7584823140027;0.46153846153846156;0.17181023559478556;14;12
04;B;6;135.7493840690795;0.3125;0.30697715212910576;22;10
05;8;1;199.00790179880386;0.35714285714285715;0.2131014789242637;18;10
05;H;2;184.37837306836596;0.32142857142857145;0.21105482982315826;19;9
05;1;3;147.9695915197785;0.2;0.24099920365480532;24;6
05;B;4;130.27316604830364;0.13333333333333333;0.259482389043074;26;4
05;4;5;197.67396698960263;0.5666666666666667;0.14525788862072045;13;17
05;W;6;181.77589442335213;0.4722222222222222;0.28381800716094663;19;17
06;H;1;239.1310844171177;0.4642857142857143;0.26255333114538887;15;13
06;B;2;117.98706858309762;0.18181818181818182;0.1622217896307832;18;4
06;8;3;346.139354540974;0.7352941176470589;0.1563162948571939;9;25
06;W;4;254.97217630660393;0.5769230769230769;0.1669895130585799;11;15
06;1;5;187.80718527673295;0.3333333333333333;0.23424689622862496;20;10
06;4;6;244.62694301658365;0.36363636363636365;0.14160294534126308;14;8
07;B;1;96.97154377270941;0.34146341463414637;0.18291567587342233;27;14
07;H;2;177.90044595403268;0.6052631578947368;0.1622217896307832;15;23
07;W;3;213.27978669565735;0.8235294117647058;0.19950788056128216;6;28
07;8;4;238.9209162986365;0.5;0.2017213555675094;18;18
07;4;5;233.13879829714193;0.43333333333333335;0.19734245494013944;17;13
07;1;6;198.7021742194322;0.5945945945945946;0.13310262212165577;15;22
08;W;1;119.10702801765511;0.39473684210526316;0.3076988371106018;23;15
08;B;2;136.07897028891458;0.2894736842105263;0.4121385653239626;27;11
08;4;3;154.91104791777522;0.8095238095238095;0.14699231117141565;8;34
08;H;4;116.96202575209121;0.47058823529411764;0.15741833923652104;36;32
08;1;5;128.29388604903772;0.5535714285714286;0.29995756697832987;25;31
08;8;6;168.9489909440942;0.59375;0.15714622456195487;13;19
09;4;1;176.86000159335597;0.2692307692307692;0.19233235030132065;19;7
09;W;2;153.39359964751304;0.23529411764705882;0.2793896410917687;26;8
09;1;3;156.95207016069372;0.32142857142857145;0.18387761106207706;19;9
09;B;4;151.23707868213353;0.14705882352941177;0.3610189760599291;29;5
09;8;5;184.94288640270193;0.35714285714285715;0.1863789852212428;18;10
09;H;6;170.62305378540833;0.375;0.2719223824751463;20;12
10;1;1;113.01419291122072;0.5;0.12134155220113575;18;18
10;4;2;158.213148386136;0.5862068965517241;0.17189725455527724;12;17
10;8;3;153.33255891748462;0.4411764705882353;0.23435430294878848;19;15
10;W;4;135.93779241331654;0.5277777777777778;0.1347999568640138;17;19
10;H;5;126.43449290375962;0.38235294117647056;0.18358055514759875;21;13
10;B;6;82.7324223453909;0.25;0.37627934978928357;24;8
11;8;1;330.23765392621175;0.9142857142857143;0.18490722008309946;3;32
11;1;2;210.37901917710818;0.7631578947368421;0.13458044546127446;9;29
11;H;3;170.85083226878592;0.65;0.17393320964749537;14;26
11;4;4;209.1055381320271;0.7058823529411765;0.1508685719212035;10;24
11;B;5;143.74220265961912;0.17647058823529413;0.27488235035404845;28;6
11;W;6;185.39920027180995;0.6857142857142857;0.17825311942959002;11;24
12;H;1;176.32588248357453;0.7878787878787878;0.16095802214782384;7;26
12;8;2;209.61604940938028;0.5789473684210527;0.15313659784527797;16;22
12;B;3;109.54600765527265;0.15384615384615385;0.26255333114538887;22;4
12;1;4;173.83496455348012;0.59375;0.13588802826470986;13;19
12;W;5;149.4356886805875;0.4230769230769231;0.1621060822202049;15;11
12;4;6;249.71422618201075;0.84375;0.13071041108424286;5;27
13;B;1;200.79168183357933;0.5;0.1706011558228307;16;16
13;W;2;194.90813193570472;0.47058823529411764;0.20982418941602615;18;16
13;H;3;137.42000083798092;0.43478260869565216;0.26689660836002294;26;20
13;4;4;217.79627407480672;0.45454545454545453;0.19587510081806658;18;15
13;8;5;246.3520081973851;0.5666666666666667;0.1580634963645396;13;17
13;1;6;137.3068537534074;0.4117647058823529;0.24662763516266697;20;14
14;W;1;217.25518964472158;0.925;0.12679092177000126;3;37
14;4;2;237.82549376895543;0.7380952380952381;0.10764842025943269;11;31
14;B;3;98.20857400710074;0.5;0.23241915133807026;21;21
14;1;4;183.1566845716549;0.59375;0.13087687506292156;13;19
14;H;5;159.11766622049532;0.5769230769230769;0.16597903921847582;11;15
14;8;6;171.99248571563587;0.3181818181818182;0.14967302201344754;15;7
15;4;1;529.0442554843424;0.9285714285714286;0.1255650426921145;3;39
15;1;2;214.9585488177996;0.6842105263157895;0.14472424465076925;12;26
15;W;3;256.06418328356926;0.6470588235294118;0.26286459319075556;12;22
15;8;4;245.52502331345403;0.53125;0.13118194936376754;15;17
15;B;5;160.27226114751068;0.15789473684210525;0.38981555569233295;32;6
15;H;6;192.8688103091411;0.6122448979591837;0.1487386958591147;19;30
16;1;1;175.29013754932916;0.575;0.33952975129445717;17;23
16;8;2;220.96310672886005;0.7567567567567568;0.15759376829213378;9;28
16;4;3;249.41965111194955;0.6451612903225806;0.17944059394836595;11;20
16;H;4;150.49689687902557;0.5882352941176471;0.15771093838008335;14;20
16;W;5;193.16236231763668;0.5;0.17643685765956507;14;14
16;B;6;105.49207135036482;0.325;0.42450365726227796;27;13
17;8;1;334.76568066783335;0.825;0.17554253615079102;7;33
17;H;2;218.90332654058236;0.7;0.1418068372712001;9;21
17;1;3;187.10618933769075;0.35714285714285715;0.20490403660952117;18;10
17;B;4;169.66203100514127;0.23529411764705882;0.30157442648863375;26;8
17;4;5;243.75043511531868;0.6111111111111112;0.16908076424505436;14;22
17;W;6;206.51277655053423;0.6333333333333333;0.19462447208111944;11;19
18;H;1;192.72631154127058;0.0;1.4316392269148175;2;0
18;B;2;116.02215982481914;0.2647058823529412;0.3418464117154073;25;9
18;8;3;158.70261148918618;0.4166666666666667;0.23934398934398934;21;15
18;W;4;107.25492567183579;0.3125;0.20170380389644288;22;10
18;1;5;113.71296009544555;0.2727272727272727;0.3043345941480805;24;9
18;4;6;128.73630780157933;0.41025641025641024;0.2646552864893476;23;16
19;B;1;128.00720858340213;0.25925925925925924;0.19106576483625665;20;7
19;H;2;118.84378131938237;0.22727272727272727;0.19581925882410534;17;5
19;W;3;71.58279365125833;0.14285714285714285;0.26342562313785334;24;4
19;8;4;92.43957753025006;0.35;0.26055915995726825;13;7
19;4;5;109.53357669289161;0.7692307692307693;0.1931496265773886;6;20
19;1;6;97.63636228557762;0.42857142857142855;0.2815145482696909;16;12
20;W;1;410.9930920095579;0.43333333333333335;0.24963098029000605;17;13
20;B;2;173.62095819451218;0.2777777777777778;0.317309217832778;26;10
20;4;3;496.0464223870176;0.8205128205128205;0.1503126503126503;7;32
20;H;4;206.47226164258993;0.5555555555555556;0.2258049948064851;16;20
20;1;5;275.25782342637035;0.7368421052631579;0.13310262212165577;10;28
20;8;6;345.2413047592001;0.6842105263157895;0.13242402171753956;12;26
21;4;1;305.32214315533054;0.7368421052631579;0.13089861901956934;10;28
